word,synonym
existence,being
existence,entity
existence,ens
existence,esse
existence,subsistence
reality,actuality
reality,positiveness
reality,fact
reality,existence
essence,principle
prevail,vegetate
continue,endure
continue,last
continue,remain
continue,stay
existing,existent
existing,extant
existing,afloat
existing,afoot
existing,current
existing,prevalent
existing,undestroyed
real,actual
real,positive
real,absolute
real,substantive
real,self
real,existing
real,self
real,existent
real,essential
well,founded
well,well
well,grounded
well,unideal
well,unimagined
well,authentic
indeed,facto
extinguishment,extirpation
extinguishment,Nirvana
extinguishment,obliteration
perish,dissolve
perish,nullify
perish,extirpate
inexistent,blank
inexistent,missing
inexistent,omitted
inexistent,shadowy
inexistent,spectral
inexistent,visionary
unreal,potential
unreal,virtual
unreal,baseless
unreal,vain
uncreated,unbegotten
uncreated,unconceived
uncreated,unproduced
uncreated,unmade
perished,annihilated
perished,extinct
perished,exhausted
perished,gone
perished,lost
perished,vanished
perished,departed
perished,Adv
hypostasis,person
hypostasis,being
hypostasis,thing
hypostasis,object
hypostasis,article
hypostasis,item
hypostasis,something
hypostasis,creature
hypostasis,body
hypostasis,substance
hypostasis,stuff
hypostasis,substratum
hypostasis,element
hypostasis,groundwork
hypostasis,materiality
hypostasis,substantialness
hypostasis,part
bodily,essentially
unsubstantiality,insubstantiality
unsubstantiality,nothingness
unsubstantiality,nihility
unsubstantiality,thing
naught,nil
naught,nullity
naught,zero
naught,cipher
naught,nobody
naught,moonshine
naught,nonentity
naught,nihil
phantom,inanity
phantom,paradise
fool,evaporate
fool,fade
fool,dissolve
fool,Adj
baseless,groundless
baseless,ungrounded
baseless,foundation
shadowy,ethereal
shadowy,airy
shadowy,gossamery
shadowy,illusory
shadowy,insubstantial
shadowy,unreal
vacant,vacuous
vacant,blank
vacant,hollow
vacant,nominal
vacant,null
vacant,inane
there,quintessence
there,incarnation
there,quiddity
there,gist
there,pith
there,marrow
there,core
there,sap
there,lifeblood
there,backbone
there,heart
there,soul
there,nature
there,constitution
there,character
there,type
there,quality
there,crasis
there,diathesis
habit,temper
habit,temperament
habit,spirit
habit,humor
habit,grain
habit,disposition
endowment,capacity
endowment,declensions
endowment,features
endowment,aspects
endowment,oddity
endowment,idiocrasy
endowment,diagnostics
subjective,intrinsic
subjective,intrinsical
subjective,fundamental
subjective,normal
subjective,implanted
subjective,inherent
subjective,essential
subjective,natural
subjective,innate
subjective,inborn
subjective,inbred
subjective,ingrained
subjective,inwrought
subjective,genetous
subjective,haematobious
subjective,syngenic
subjective,radical
subjective,incarnate
subjective,thoroughbred
subjective,hereditary
subjective,inherited
subjective,immanent
subjective,congenital
subjective,congenite
subjective,connate
subjective,ingenerate
subjective,ingenite
subjective,indigenous
subjective,instinctive
subjective,inward
subjective,virtual
incurable,incorrigible
incurable,ineradicable
incurable,fixed
intrinsically,practically
intrinsically,virtually
intrinsically,substantially
intrinsically,fairly
modal,adventitious
modal,ascititious
modal,adscititious
modal,incidental
modal,accidental
modal,nonessential
modal,contingent
modal,fortuitous
implanted,ingrafted
implanted,inculcated
implanted,infused
outward,Adv
condition,category
condition,estate
condition,lot
condition,ease
condition,trim
condition,mood
condition,pickle
